maxAbs,mean,min,var
2.539230e-03,1.114676e-03,2.611900e-05,1.825808e-07
2.804025e-03,1.112021e-03,1.480690e-04,1.784314e-07
2.414600e-03,1.086613e-03,3.443000e-05,1.686153e-07
2.372357e-03,1.054022e-03,3.486900e-05,1.514388e-07
2.348465e-03,1.043995e-03,3.472000e-05,1.478690e-07
2.282567e-03,1.031954e-03,2.617100e-05,1.488501e-07
3.056230e-03,9.997594e-04,2.719700e-05,1.344463e-07
2.229835e-03,9.834754e-04,2.710100e-05,1.299208e-07
2.131001e-03,9.647674e-04,2.780900e-05,1.281659e-07
2.110639e-03,9.297556e-04,2.744600e-05,1.232326e-07
2.064386e-03,9.138474e-04,2.621000e-05,1.238000e-07
2.131329e-03,8.876942e-04,3.689200e-05,1.278703e-07
1.943761e-03,8.562750e-04,1.490730e-04,1.156876e-07
1.945440e-03,8.390076e-04,2.707500e-05,1.193149e-07
1.872278e-03,8.130784e-04,3.508300e-05,1.165842e-07
1.850617e-03,7.905003e-04,3.435000e-05,1.115169e-07
1.768052e-03,7.613551e-04,2.633700e-05,1.029262e-07
1.780243e-03,7.423994e-04,3.308500e-05,9.727807e-08
1.786555e-03,7.290634e-04,2.800500e-05,9.924266e-08
1.733052e-03,6.921052e-04,2.438100e-05,8.706970e-08
1.627173e-03,6.665928e-04,3.110100e-05,7.859674e-08
1.658350e-03,6.448764e-04,3.522300e-05,7.462212e-08
1.520451e-03,6.200302e-04,3.884000e-05,6.874657e-08
1.473292e-03,6.000757e-04,2.978800e-05,6.467682e-08
1.443746e-03,5.750511e-04,3.513000e-05,5.971721e-08
1.406964e-03,5.524759e-04,2.727500e-05,5.591351e-08
1.352533e-03,5.290649e-04,2.944900e-05,5.297115e-08
1.362247e-03,5.082508e-04,3.519300e-05,5.014789e-08
1.282523e-03,4.796430e-04,2.614400e-05,4.623172e-08
1.225695e-03,4.572186e-04,3.389400e-05,4.266448e-08
1.190986e-03,4.365457e-04,2.493700e-05,3.880967e-08
1.132226e-03,4.182113e-04,1.287090e-04,3.586446e-08
1.117494e-03,3.949983e-04,3.513500e-05,3.531213e-08
1.062318e-03,3.674104e-04,3.496800e-05,3.308369e-08
1.045866e-03,3.467033e-04,2.718300e-05,2.907775e-08
9.878130e-04,3.224400e-04,2.750200e-05,2.391820e-08
9.798360e-04,3.154092e-04,2.628200e-05,2.299256e-08
9.431250e-04,2.931478e-04,2.435800e-05,1.971889e-08
9.685880e-04,2.810070e-04,2.564900e-05,2.005737e-08
1.361501e-03,2.559305e-04,3.069400e-05,1.699701e-08
1.173713e-03,2.339918e-04,2.419600e-05,1.439423e-08
1.181268e-03,2.149895e-04,2.535000e-05,1.236508e-08
2.802591e-03,1.962012e-04,2.483400e-05,1.112081e-08
9.609080e-04,1.763324e-04,2.611700e-05,8.457655e-09
1.160033e-03,1.583356e-04,3.297400e-05,6.737368e-09
1.068015e-03,1.396290e-04,2.713500e-05,5.131037e-09
8.666570e-04,1.211223e-04,3.448300e-05,3.792401e-09
7.834780e-04,1.106524e-04,4.998400e-05,2.700624e-09
6.570130e-04,9.628686e-05,2.720900e-05,2.402452e-09
7.637590e-04,7.917372e-05,2.797600e-05,1.586048e-09
6.070290e-04,6.431430e-05,3.324100e-05,8.545581e-10
5.577610e-04,4.518626e-05,2.352200e-05,7.099657e-10
